1;gas;ghaaz;???;substantief;H0;
2;aardappelen;baTaaTaa;???????;substantief;H0;
3;sofa;Soefa;????;substantief;H0;
4;algebra;el-djibr;?????;substantief;H0;
5;gitaar;ghietaar;?????;substantief;H0;
6;giraf;zaraafa;????????;substantief;H0;
7;suiker;sukkar;??????;substantief;H1;
8;televisie;talfizyoen;???????;substantief;H0;
9;shampo;sjaamboe;?????;substantief;H0;
10;spinazie;sabaanikh;???????;substantief;H0;
11;katoen;quTn;?????;substantief;H0;
12;olie (industrieel);nafT;???;substantief;H0;
13;radio;raadiyoe;?????;substantief;H0;
14;koffie;qahwa;???????;substantief;H1;
15;limoen / citroen;laymoen;????????;substantief;H1;schrijf
16;woestijn;SaHraa';?????;substantief;ok;
17;alcohol;El-kuHoel;??????;substantief;ok;
18;gazelle;ghazaala;????;substantief;H0;
19;papegaai;babaghaa’;?????;substantief;H0;
20;zeep;Saboen;?????;substantief;ok;
21;luister !;istami3 !;????????;uitdrukking;H1;
22;lees !;iqra' !;?????;uitdrukking;H1;
23;schrijf !;uktub !;???????;uitdrukking;H1;
24;open !;iftaH !;???;uitdrukking;H1;
25;zwijg !;uskut !;??;uitdrukking;H1;
26;ga zitten !;idjlis !;??;uitdrukking;H1;
27;excuseer ---;law samaHt(i);?????;uitdrukking;H1;
28;ik heb een vraag;3indie su'aal;???? ????;uitdrukking;H1;
29;wat betekent --- ?;maa ma3naa --- ?;????;uitdrukking;H1;
30;Hoe schrijven we --- ?;kayfa naktub --- ?;??? ????;uitdrukking;H1;
31;ik begrijp het niet;laa afham;?? ????;uitdrukking;H1;
32;ik weet het niet;laa a3rif;?? ????;uitdrukking;H1;
33;boek;kitaab;??????;substantief;H1;
34;pagina / bladzijde;SafHa;???????;substantief;ok;
35;pen;qalam;?????;substantief;ok;
36;bord;sabboera;?????????;substantief;ok;
37;stoel;kursie;????????;substantief;ok;
38;raam;sjubbaak;?????;substantief;ok;
39;deur;baab;???;substantief;ok;
40;pauze;istiraaHa;????? ????;substantief;ok;
41;gesprek / dialoog;Hiwaar;????????;substantief;ok;
42;oefening / oefeningen;tamrien / tamaarien;;substantief;ok;
43;ja;na3am;???;substantief;ok;
44;nee;laa;??;substantief;ok;
45;aangenaam / ik ben vereerd;tasjarrafnaa / furSa sa3ieda;;uitdrukking;H1;
46;bakker;khabbaaz;;substantief;H1;
47;meisjes / dochters;banaat;;substantief;H1;
48;liefje / schatje / geliefde (v);Habieba;;substantief;H1;
49;liefje / schatje / geliefde (m);Habieb;;substantief;H1;
50;thee;sjaay;????;substantief;H1;schrijf
51;melk;Halieb;??????;substantief;H1;
52;olijf;zaytoen;??????????;substantief;H1;
53;tafel;Taawila;;substantief;ok;
54;sleutel;miftaaH;;substantief;H1;
55;markt;soeq;????;substantief;H1;
56;huis;bayt / daar;????? ;substantief;H1;
57;stad;madiena;?????????;substantief;H1;
58;badkamer;Hammaam;???????;substantief;H1;
59;boter;zubda;;substantief;H1;
60;olie;zayt;?????;substantief;H1;
61;boeken;kutub;;substantief;H1;
62;liefde;Hubb;;substantief;H1;
63;vader;ab;;substantief;H1;
64;moeder / mama;umm / maamaa;????;substantief;H1;schrijf
65;meisje / dochter;bint;;substantief;H1;
66;jongen / zoon / kind;walad;;substantief;H1;
67;vis / één vis;samak / samaka;??????;substantief;H1;
68;groenten;khuDar;;substantief;H1;
69;brood / één brood;khubz / khubza;?????;substantief;H1;
70;vlees;laHm;?????;substantief;H1;
71;zin;djumla;;substantief;ok;
72;woord;kalima;???????;substantief;ok;
73;bureau / kantoor;maktab;;substantief;H1;
74;moskee;masdjid;???????;substantief;H1;
75;imam;imaam;;substantief;H1;schrijf
76;broer;akh;??? ;substantief;H1;schrijf
77;zus;ukht;;substantief;H1;
78;islam;islaam;;substantief;H1;schrijf
79;les;dars;;substantief;H1;
80;leraar;mudarris;;substantief;H1;
81;wat is --- ?;ma hadaa --- ?;;substantief;ok;
82;restaurant;maT3am;???????;substantief;H1;
83;rechts;yamien;????;substantief;H1;schrijf
84;ziek (v);marieDa;;adjectief;H1;
85;verpleegster;mumarriDa;;substantief;H1;
86;school;madrasa;;substantief;H1;
87;een vrouw / de vrouw;imra'a / el-mar'a;;substantief;H1;schrijf
88;valies / koffer;Haqieba;????????;substantief;ok;
